Account,Date,Payee,Category,Project,Amount,AmountTo,Status,StatusTo,Memo
Casierie Sampetru,2016-11-06,Plic 13 nov,Plicuri:Plic 13,,200.00,,,,
Casierie Sampetru,2016-11-06,Plic 5 nov,Plicuri:Plic 5,,500.00,,,,
Casierie Sampetru,2016-11-06,Plic 2 oct nov,Plicuri:Plic 2,,200.00,,,,
Casierie Sampetru,2016-11-06,Plic 3 oct nov,Plicuri:Plic 3,,200.00,,,,
Casierie Sampetru,2016-11-06,Donatie Bebe,Donatii:Donatie Bebe,,-500.00,,,,
Casierie Sampetru,2016-11-13,Fact electrica,Facturi:Electrica,,-700.00,,,,
Casierie Sampetru,2016-11-13,Combustibil,Misiune:Ticus,,-80.00,,,,
Casierie Sampetru,2016-11-13,Bomboane ticus,Misiune:Ticus,,-50.00,,,,
Casierie Sampetru,2016-11-13,Combustibil botez rupea,Misiune:Rupea,,-60.00,,,,
Casierie Sampetru,2016-11-13,Combustibil botez rupea,Misiune:Rupea,,-60.00,,,,
Casierie Sampetru,2016-11-13,Colecta,Colecta comuna,,49.00,,,,
Casierie Sampetru,2016-11-20,Colecta,Colecta comuna,,330.00,,,,
Casierie Sampetru,2016-11-20,Plic 15 aug+sept,Plicuri:Plic 15,,300.00,,,,
Casierie Sampetru,2016-11-20,Pentru cadouri copii craciun,Sarbatori:Craciun,Cadouri Craciun,-100.00,,,,Numarat 6990
Casierie Sampetru,2016-11-20,Balanta,,,149.00,,,,
Casierie Sampetru,2016-11-27,Combustibil,Misiune:Ticus,,-140.00,,,,
Casierie Sampetru,2016-11-27,Plic 12,Plicuri:Plic 12,,50.00,,,,
Casierie Sampetru,2016-11-27,Plic 24,Plicuri:Plic 24,,70.00,,,,
Casierie Sampetru,2016-11-27,Plic 9,Plicuri:Plic 9,,12.00,,,,
Casierie Sampetru,2016-11-27,Colecta,Colecta comuna,,283.00,,,,
Casierie Sampetru,2016-11-27,Plic 8,Plicuri:Plic 8,,20.00,,,,
Casierie Sampetru,2016-11-27,Plic 10,Plicuri:Plic 10,,150.00,,,,
Casierie Sampetru,2016-12-04,Dulciuri copii,Scoala duminicala,,-50.00,,,,
Casierie Sampetru,2016-12-04,Autocolante cadouri,Scoala duminicala,,-20.00,,,,
Casierie Sampetru,2016-12-04,Lumanari,Administrative,,-88.00,,,,
Casierie Sampetru,2016-12-04,Cadouri copii,Scoala duminicala,,-42.00,,,,
Casierie Sampetru,2016-12-04,Fact gaz,Facturi:Gaz,,-87.00,,,,
Casierie Sampetru,2016-12-04,Fact electrica,Facturi:Electrica,,-71.00,,,,
Casierie Sampetru,2016-12-04,Donatie Vali,Donatii:Donatie Vali,,-1200.00,,,,
Casierie Sampetru,2016-12-04,Plic 1 nov+dec,Plicuri:Plic 1,,240.00,,,,
Casierie Sampetru,2016-12-04,Plic 7 august - noiembrie + IB,Plicuri:Plic 7,,430.00,,,,
Casierie Sampetru,2016-12-04,Plic 22,Plicuri:Plic 22,,300.00,,,,
Casierie Sampetru,2016-12-04,Donatie Bebe,Donatii:Donatie Bebe,,-500.00,,,,Numarat 6471
Casierie Sampetru,2016-12-04,Plic 6,Plicuri:Plic 6,,160.00,,,,
Casierie Sampetru,2016-12-04,Combustibil,Misiune:Rupea,,-120.00,,,,
Casierie Sampetru,2016-12-11,Colecta,Colecta comuna,,458.00,,,,
Casierie Sampetru,2016-12-11,Curatenie,Curatenie biserica,,-80.00,,,,
Casierie Sampetru,2016-12-11,Plic 20,Plicuri:Plic 20,,200.00,,,,
Casierie Sampetru,2016-12-11,Plic 31 20eur,Plicuri:Plic 31,,90.00,,,,
Casierie Sampetru,2016-12-11,Plic 30,Plicuri:Plic 30,,80.00,,,,
Casierie Sampetru,2016-12-11,Plic 5 dec si cuib,Plicuri:Plic 5,,520.00,,,,
Casierie Sampetru,2016-12-18,Cadouri copii dulciuri si cosmetica,Scoala duminicala,Cadouri Craciun,-455.00,,,,
Casierie Sampetru,2016-12-18,Plic 13,Plicuri:Plic 13,,200.00,,,,
Casierie Sampetru,2016-12-18,Plic 10,Plicuri:Plic 10,,170.00,,,,
Casierie Sampetru,2016-12-18,Plic 11,Plicuri:Plic 11,,105.00,,,,
Casierie Sampetru,2016-12-18,Benzina ticus,Misiune:Ticus,,-140.00,,,,
Casierie Sampetru,2016-12-18,Plic 25 nov dec cuib,Plicuri:Plic 25,,518.00,,,,
Casierie Sampetru,2016-12-18,Fact gaz,Facturi:Gaz,,-160.00,,,,
Casierie Sampetru,2016-12-18,ISCIR,Administrative,,-150.00,,,,
Casierie Sampetru,2016-12-18,Combustibil 4 drumuri,Misiune:Rupea,,-240.00,,,,
Casierie Sampetru,2016-12-18,Plic 4,Plicuri:Plic 4,,300.00,,,,
Casierie Sampetru,2016-12-18,Colecta,Colecta comuna,,51.00,,,,
Casierie Sampetru,2016-12-18,Fructe Rupea,Misiune:Rupea,,-50.00,,,,Numarat 7923
Casierie Sampetru,2016-12-18,Balanta,Balanta,,87.00,,,,
Casierie Sampetru,2016-12-25,Colecta,Colecta comuna,,440.00,,,,
Casierie Sampetru,2016-12-25,Plic 24 dec+ cuib,Plicuri:Plic 24,,88.00,,,,
Casierie Sampetru,2016-12-25,Plic 15 nov + oct,Plicuri:Plic 15,,300.00,,,,
Casierie Sampetru,2016-12-25,Plic 9 dec,Plicuri:Plic 9,,12.00,,,,
Casierie Sampetru,2016-12-25,Plic 8 dec,Plicuri:Plic 8,,20.00,,,,Numarat 8751
Casierie Sampetru,2016-12-26,Colecta,Colecta comuna,,211.00,,,,
Casierie Sampetru,2016-12-26,Plic 2 dec cuib,Plicuri:Plic 2,,175.00,,,,
Casierie Sampetru,2016-12-26,Plic 3 dec cuib,Plicuri:Plic 3,,175.00,,,,Numarat 9312
