Account,Date,Payee,Category,Project,Amount,AmountTo,Status,StatusTo,Memo
Casierie Sampetru,1-5-2014,Sold precedent 2013,Sold precedent,,4646,,,,
Casierie Sampetru,1-5-2014,Colecta,Colecta comuna,,311,,,,
Casierie Sampetru,1-5-2014,Plicul 16 ianuarie,Plicuri:Plic 16,,100,,,,
Casierie Sampetru,1-5-2014,Plicul 4 ianuarie,Plicuri:Plic 4,,200,,,,
Casierie Sampetru,1-5-2014,Donatie vali ianuarie,Donatie Vali,,-1000,,,,
Casierie Sampetru,1-5-2014,Benzina Rupea,Misiune:Rupea,,-60,,,,
Casierie Sampetru,1-6-2014,Benzina Ticus,Misiune:Ticus,,-70,,,,
Casierie Sampetru,1-7-2014,Curatenie,Misiune:Ticus,,-80,,,,
